"date","Stock","Value","Sector"
2000-02-01,"HSBC",0.845269633293705,"Finance"
2000-02-01,"BCS",0.835498025054075,"Finance"
2000-02-01,"JPM",1.15573032413247,"Finance"
2000-02-01,"GS",1.03468069479509,"Finance"
2000-02-01,"JNJ",0.920000085199894,"Healthcare"
2000-02-01,"PFE",1.16078456209606,"Healthcare"
2000-02-01,"UNH",1.01279087581671,"Healthcare"
2000-02-02,"AAPL",0.882746079795093,"Tech"
2000-02-02,"MSFT",0.864879329762891,"Tech"
2000-02-02,"NVDA",0.833110939025072,"Tech"
2000-02-02,"BP",0.917109858817432,"Energy"
2000-02-02,"SHEL",0.933693151615785,"Energy"
2000-02-02,"XOM",1.0702316467415,"Energy"
2000-02-02,"HSBC",0.834659549560727,"Finance"
2000-02-02,"BCS",0.831169219665283,"Finance"
2000-02-02,"JPM",1.13675606454843,"Finance"
2000-02-02,"GS",1.03326326602088,"Finance"
2000-02-02,"JNJ",0.926101462587252,"Healthcare"
2000-02-02,"PFE",1.12941184891036,"Healthcare"
2000-02-02,"UNH",1.03953460422737,"Healthcare"
2000-02-03,"AAPL",0.922948012856748,"Tech"
2000-02-03,"MSFT",0.889008168544301,"Tech"
2000-02-03,"NVDA",0.846461097273212,"Tech"
2000-02-03,"BP",0.887353418292801,"Energy"
2000-02-03,"SHEL",0.931587946142339,"Energy"
2000-02-03,"XOM",1.05187549516188,"Energy"
2000-02-03,"HSBC",0.846153760592261,"Finance"
2000-02-03,"BCS",0.822511348763988,"Finance"
2000-02-03,"JPM",1.1479686378957,"Finance"
2000-02-03,"GS",0.968064417263032,"Finance"
2000-02-03,"JNJ",0.903728298194385,"Healthcare"
2000-02-03,"PFE",1.11764686299916,"Healthcare"
2000-02-03,"UNH",1.03023242579301,"Healthcare"
2000-02-04,"AAPL",0.964824143821789,"Tech"
2000-02-04,"MSFT",0.914209289185971,"Tech"
2000-02-04,"NVDA",0.866486917956541,"Tech"
2000-02-04,"BP",0.837407305328922,"Energy"
2000-02-04,"SHEL",0.884210630147797,"Energy"
2000-02-04,"XOM",1.03272174350392,"Energy"
2000-02-04,"HSBC",0.813439129299181,"Finance"
2000-02-04,"BCS",0.787879258203478,"Finance"
2000-02-04,"JPM",1.12813138596438,"Finance"
2000-02-04,"GS",0.960268808992348,"Finance"
2000-02-04,"JNJ",0.890846647728259,"Healthcare"
2000-02-04,"PFE",1.12156885787098,"Healthcare"
2000-02-04,"UNH",1.05581371625132,"Healthcare"
2000-02-07,"AAPL",1.01898350767208,"Tech"
2000-02-07,"MSFT",0.914745510662087,"Tech"
2000-02-07,"NVDA",0.813085784983022,"Tech"
2000-02-07,"BP",0.824654359761879,"Energy"
2000-02-07,"SHEL",0.918956000898724,"Energy"
2000-02-07,"XOM",1.03112565316859,"Energy"
2000-02-07,"HSBC",0.808134213830487,"Finance"
2000-02-07,"BCS",0.798701705214978,"Finance"
2000-02-07,"JPM",1.13416908555946,"Finance"
2000-02-07,"GS",0.972316328604487,"Finance"
